,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
2,Dua Lipa,IDGAF,213981,2020-05-28 09:21:00,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,76cy1WJvNGJTj78UqeA5zr,4.0
23,Selena Gomez,Back To You,189227,2020-05-29 13:23:00,0.601,0.724,6.0,-4.856,1.0,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,4hQ6UGyWQIGJmHSo0J88JW,4.0
29,Ed Sheeran,Beautiful People (feat. Khalid),176352,2020-05-29 13:42:00,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,4evmHXcjt3bTUHD1cvny97,4.0
47,Ed Sheeran,I Don't Care (with Justin Bieber),207859,2020-05-29 14:45:00,0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,0hVXuCcriWRGvwMV1r5Yn9,4.0
48,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),180514,2020-05-29 14:48:00,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,2Rk4JlNc2TPmZe2af99d45,4.0
50,Sam Smith,I’m Ready (with Demi Lovato),198416,2020-05-29 14:55:00,0.501,0.674,5.0,-6.363,1.0,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,1fipvP2zmef6vN2IwXfJhY,4.0
60,Jawsh 685,Laxed - Siren Beat,2577,2020-05-29 17:14:00,0.736,0.62,0.0,-8.481,0.0,0.11,0.0577,0.692,0.318,0.959,150.026,3BJiF37kmX4HCfYSO7qBnQ,4.0
65,Joshua Moriarty,Savage Love,15714,2020-05-30 06:52:00,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,4.0
67,Tungevaag,Wolf,133850,2020-05-30 06:58:00,0.445,0.907,11.0,-3.894,0.0,0.0773,0.00161,0.0,0.403,0.71,165.069,55Fpeuuc2sbQiy74eA1gTt,4.0
83,The Chainsmokers,Roses,226738,2020-05-30 13:51:00,0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,24Yi9hE78yPEbZ4kxyoXAI,4.0
84,Sofia Carson,I Luv U (with R3HAB) - R3HAB VIP Remix,173034,2020-05-30 13:54:00,0.583,0.754,1.0,-7.216,1.0,0.178,0.148,8.24e-05,0.268,0.593,116.622,3wgHRiN7KQHoKGlUpEbXH2,4.0
85,Steve Aoki,I Love My Friends,185624,2020-05-30 13:57:00,0.756,0.866,9.0,-3.045,1.0,0.067,0.0359,1.89e-05,0.182,0.505,128.007,1oPpiUmhXq0MiyZHlkD0xp,4.0
86,DVBBS,Need U,219520,2020-05-30 14:02:00,0.475,0.897,5.0,-2.383,0.0,0.0736,0.0184,0.0,0.296,0.642,78.918,7dlNGfd6Fq8xcFb4K6Glws,4.0
104,Cheat Codes,Let Me Hold You (Turn Me On),162425,2020-05-31 14:44:00,0.681,0.774,1.0,-3.167,0.0,0.0787,0.0992,0.0,0.35,0.267,102.924,3aLWuWKHaTV4Ok7LKvXRYn,4.0
106,Matt Simons,Catch & Release - Deepend Remix,155726,2020-05-31 14:50:00,0.838,0.536,1.0,-8.645,0.0,0.0478,0.555,0.000376,0.111,0.107,104.988,11BAVEGi1ivJ6JWLqKUNrZ,4.0
165,AJ Mitchell,All My Friends,172787,2020-06-01 07:04:00,0.62,0.64,4.0,-5.285,1.0,0.0334,0.0488,0.0,0.0647,0.445,90.032,5Xq7KPZSONkhHx6DFTAbTz,4.0
