,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0,Halsey,Gasoline,199593,2020-05-12 08:49:00,0.731,0.58,10.0,-7.328,0.0,0.0399,0.223,0.0,0.129,0.319,119.997,2IO7yf562c1zLzpanal1DT,4.0
1,Dua Lipa,IDGAF,150004,2020-05-24 15:36:00,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,76cy1WJvNGJTj78UqeA5zr,4.0
2,Dua Lipa,IDGAF,213981,2020-05-28 09:21:00,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,76cy1WJvNGJTj78UqeA5zr,4.0
3,Jack & Jack,No One Compares To You,177858,2020-05-28 09:25:00,0.7,0.748,1.0,-6.044,1.0,0.0434,0.127,0.0,0.0941,0.631,111.939,4cZ3UsiKd1kUQIaq4BFIj2,4.0
4,Why Don't We,Big Plans,146083,2020-05-28 09:27:00,0.693,0.604,11.0,-5.279,1.0,0.0427,0.0668,0.0,0.114,0.651,75.014,3eng6TJxpqjvDkxRpnfnhB,4.0
5,Why Don't We,Big Plans,21389,2020-05-28 13:43:00,0.693,0.604,11.0,-5.279,1.0,0.0427,0.0668,0.0,0.114,0.651,75.014,3eng6TJxpqjvDkxRpnfnhB,4.0
6,NOTD,I Miss Myself (with HRVY),189677,2020-05-28 13:46:00,0.72,0.864,0.0,-3.249,1.0,0.208,0.0856,0.0,0.16,0.659,96.048,5YkmS18BehACOhIIeUqe6l,4.0
7,Zara Larsson,Ruin My Life,184467,2020-05-28 13:50:00,0.665,0.699,11.0,-5.265,1.0,0.0578,0.423,0.0,0.0969,0.585,124.896,5tAa8Uaqr4VvA3693mbIhU,4.0
8,The Chainsmokers,Who Do You Love,206675,2020-05-28 13:54:00,0.51,0.846,3.0,-4.595,1.0,0.0461,0.0101,0.0,0.208,0.475,139.927,2fVHrSxsQbJUuj9MW9zG1e,4.0
9,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",149984,2020-05-28 13:56:00,0.664,0.708,8.0,-4.154,1.0,0.0474,0.0337,0.0,0.0841,0.742,103.07,5Gu0PDLN4YJeW75PpBSg9p,4.0
10,Why Don't We,Unbelievable,178396,2020-05-28 13:59:00,0.532,0.66,7.0,-7.138,1.0,0.0825,0.105,0.000222,0.0996,0.676,130.013,1LHfEkVMR0Yj20C8lWdgpA,4.0
11,Lauv,"fuck, i'm lonely (with Anne-Marie)",190612,2020-05-28 14:02:00,0.806,0.558,9.0,-6.46,1.0,0.0683,0.482,0.0,0.0618,0.678,95.016,09PGubKAMryhOWv1LHpCYz,4.0
12,Jonas Blue,Polaroid,162184,2020-05-28 14:17:00,0.652,0.898,7.0,-4.481,0.0,0.0361,0.29,0.0,0.073,0.472,114.043,49COPp81lGS9Hl9OwKlsKl,4.0
13,Shawn Mendes,If I Can't Have You,146959,2020-05-29 10:35:00,0.691,0.823,2.0,-4.197,1.0,0.0623,0.487,0.0,0.134,0.87,123.935,2bT1PH7Cw3J9p3t7nlXCdh,4.0
14,Shawn Mendes,If I Can't Have You,5654,2020-05-29 12:55:00,0.691,0.823,2.0,-4.197,1.0,0.0623,0.487,0.0,0.134,0.87,123.935,2bT1PH7Cw3J9p3t7nlXCdh,4.0
15,Zedd,The Middle,163745,2020-05-29 12:58:00,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,09IStsImFySgyp0pIQdqAc,4.0
16,The Chainsmokers,Takeaway,185922,2020-05-29 13:01:00,0.528,0.511,3.0,-8.144,1.0,0.0324,0.126,0.0,0.101,0.351,100.1,3g0mEQx3NTanacLseoP0Gw,4.0
17,Nick Jonas,Right Now,185815,2020-05-29 13:04:00,0.83,0.857,8.0,-4.194,0.0,0.152,0.262,0.0,0.413,0.607,137.982,2VqAEP1yY5T523K7bZtL8a,4.0
18,Anne-Marie,2002,181153,2020-05-29 13:07:00,0.697,0.683,1.0,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,2BgEsaKNfHUdlh97KmvFyo,4.0
19,Marshmello,Here With Me,153600,2020-05-29 13:10:00,0.791,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181,99.961,5icOoE6VgqFKohjWWNp0Ac,4.0
20,Martin Jensen,Nobody,207480,2020-05-29 13:14:00,0.486,0.567,1.0,-6.456,1.0,0.0379,0.31,0.0,0.0949,0.154,93.68,3kwgqoBqTwoAH4nT29TYrq,4.0
21,Mark Ronson,Find U Again (feat. Camila Cabello),171838,2020-05-29 13:17:00,0.605,0.664,8.0,-7.162,1.0,0.0316,0.00548,3e-06,0.204,0.164,103.997,1HpzOCZbNWzxvvXfSGtSrX,4.0
22,5 Seconds of Summer,Youngblood,201152,2020-05-29 13:20:00,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,4.0
