,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
21,Taylor Swift,Delicate,4956,2019-10-08 10:01:00,0.75,0.40399999999999997,9,-10.177999999999999,0,0.0682,0.21600000000000003,0.000357,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,4
22,Taylor Swift,Bad Blood,211933,2019-10-08 10:04:00,0.652,0.802,7,-6.114,1,0.18100000000000002,0.0871,6.45e-06,0.14800000000000002,0.295,170.157,0TvQLMecTE8utzoNmvXRbK,4
24,Logic,1-800-273-8255,57518,2019-10-08 10:05:00,0.62,0.574,5,-7.787999999999999,0,0.0479,0.569,0.0,0.19,0.35700000000000004,100.023,5tz69p7tJuGPeMGwNTxYuV,4
28,Taylor Swift,Lover,6554,2019-10-09 02:43:00,0.359,0.5429999999999999,7,-7.582000000000001,1,0.0919,0.49200000000000005,1.58e-05,0.11800000000000001,0.45299999999999996,68.53399999999999,1dGr1c8CrMLDpV6mPbImSI,4
29,Olivia O'Brien,hate u love u,3483,2019-10-09 02:43:00,0.40700000000000003,0.41600000000000004,6,-8.915,0,0.174,0.6559999999999999,0.0,0.0981,0.24600000000000002,176.947,6ATgDc6e4sPn84hvJsAmPt,4
30,Ariana Grande,Side To Side,1320,2019-10-09 02:44:00,0.647,0.7020000000000001,6,-6.893,0,0.212,0.0374,0.0,0.172,0.624,159.137,28wuRpJ60fAKP6zc82Tt51,4
31,Sam Smith,Too Good At Goodbyes,4930,2019-10-09 02:44:00,0.6809999999999999,0.37200000000000005,5,-8.237,1,0.0432,0.64,0.0,0.16899999999999998,0.47600000000000003,91.87299999999999,1mXVgsBdtIVeCLJnSnmtdV,4
32,Taylor Swift,Out Of The Woods,235800,2019-10-09 02:48:00,0.5529999999999999,0.841,7,-6.937,1,0.0396,0.000743,1.1900000000000001e-05,0.341,0.33799999999999997,92.008,0qUnBLZ8bJqUNEeQgayL9t,4
35,BTS,Euphoria,10281,2019-10-09 02:54:00,0.637,0.799,2,-4.519,1,0.0338,0.39399999999999996,0.0,0.0921,0.562,104.995,3p6hnejEQYXkiTO1lAzVc0,4
36,BTS,Burning Up (Fire),203351,2019-10-09 02:57:00,0.627,0.706,10,-3.201,0,0.0597,0.00227,0.0,0.122,0.536,99.93,4z9gBZQjGS4QLb4LOvmeuA,4
71,Daya,Left Me Yet,5887,2019-10-12 04:50:00,0.753,0.8059999999999999,8,-6.396,0,0.275,0.0552,0.0,0.11800000000000001,0.424,114.995,6k2t5GhwOIKep31iyJ8S0L,4
89,Lauv,"fuck, i'm lonely",198973,2019-10-12 05:31:00,0.8059999999999999,0.5579999999999999,9,-6.46,1,0.0683,0.48200000000000004,0.0,0.0618,0.6779999999999999,95.016,09PGubKAMryhOWv1LHpCYz,4
92,Julia Michaels,Worst In Me,206720,2019-10-12 05:42:00,0.613,0.607,6,-8.026,1,0.057,0.0872,0.0,0.2,0.26899999999999996,105.944,0Gm6yW9dqvWhBO8DQDiLHs,4
95,Lost Kings,Stuck,136064,2019-10-12 05:52:00,0.597,0.45,8,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,178.765,4HBZA5flZLE435QTztThqH,3
96,Astrid S,Hurts So Good,208728,2019-10-12 05:56:00,0.675,0.609,7,-5.027,0,0.0586,0.084,0.0,0.0957,0.37799999999999995,120.039,46ydq5g3k17iLJs3qMDvO6,4
97,MKTO,Monaco,227226,2019-10-12 05:59:00,0.653,0.6509999999999999,11,-5.127999999999999,1,0.0276,0.0754,0.0,0.0562,0.299,99.036,3GQnWBLRh9GiaP34RlbTbK,4
98,Cody Simpson,Don’t Let Me Go,186400,2019-10-12 06:03:00,0.599,0.505,0,-7.974,1,0.0521,0.155,0.000315,0.244,0.5589999999999999,93.934,4Bn6AoUUEe18bK4h2H2QxD,3
101,Steve Acho,Summer of '69 (acoustic),116724,2019-10-17 02:27:00,0.449,0.28800000000000003,10,-8.511000000000001,1,0.033,0.948,0.0,0.134,0.509,145.16299999999998,2ids6J12ixCAijWBDbpXl7,4
102,Bryan Adams,Cuts Like A Knife,42986,2019-10-17 02:30:00,0.511,0.789,7,-4.879,1,0.0256,0.00745,1.15e-06,0.397,0.515,96.046,317GSKALx9bT2SW87K4yBo,4
103,Bryan Adams,Nobody’s Girl,164093,2019-10-17 02:30:00,0.521,0.945,4,-3.4789999999999996,1,0.0543,0.008329999999999999,2.37e-06,0.0817,0.5720000000000001,135.951,32LyLbterLHDDNOrsPHZ1Z,4
104,Boyce Avenue,Can You Feel the Love Tonight,2200,2019-10-17 02:30:00,0.337,0.331,5,-10.16,1,0.0385,0.657,0.0,0.085,0.35,103.20299999999999,1zSKtBze2IReYU44W0lDzd,5
