,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
0,Hip-hop/Rap,49NWFeDYeNBx55vxxmwCQe,45 Man - Bonus Track,Rak-Su,17,2017-04-03,0.883,0.0818,140.058,0.276,0.0223,0.0,0.664,206530,-5.671,0.695,1,1
1,Country,2bCBowfjQbsT6jXEqpGqDx,"Geronimo - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",Sheppard,36,2015-12-11,0.763,0.138,142.037,0.0818,0.37799999999999995,0.002,0.7040000000000001,217653,-6.343,0.46799999999999997,1,7
2,Jason derulo,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,77,2017-02-23,0.8170000000000001,0.187,98.064,0.109,0.075,0.0,0.696,216409,-3.862,0.782,1,1
3,Jason derulo,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,74,2011-09-16,0.718,0.10400000000000001,91.993,0.0605,0.0165,0.0,0.6679999999999999,192200,-4.736000000000001,0.345,0,1
4,Jason derulo,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),Jason Derulo,69,2017-11-10,0.7090000000000001,0.094,98.06200000000001,0.0714,0.0233,0.0,0.845,187521,-4.547,0.62,0,10
5,Jason derulo,6zKrj4SomgfbvsfuTAuElE,Want to Want Me,Jason Derulo,45,2015-06-01,0.68,0.109,114.025,0.0629,0.009059999999999999,0.0,0.775,207719,-5.507999999999999,0.6559999999999999,0,0
6,Jason derulo,5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),Jason Derulo,70,2013-09-10,0.652,0.307,100.315,0.23199999999999998,0.0348,0.0,0.76,177685,-7.321000000000001,0.759,1,6
7,Jason derulo,5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,67,2018-08-24,0.904,0.18899999999999997,103.02799999999999,0.0739,0.0776,0.0,0.643,195419,-3.694,0.48100000000000004,1,0
8,Jason derulo,7yPcAO4F6ozQi6lTi3n3Ai,Talk with Your Body,Jason Derulo,47,2019-11-08,0.76,0.267,102.98899999999999,0.124,0.11199999999999999,0.0,0.7929999999999999,188750,-3.7039999999999997,0.8190000000000001,0,0
9,Jason derulo,5YHR8wBR5jXfGtP766NiAT,If It Ain't Love,Jason Derulo,60,2016-04-01,0.843,0.344,128.63,0.316,0.0487,0.0,0.503,203105,-4.9910000000000005,0.778,0,10
