,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Land of Lords - Original Mix,0.747,0.83,5,-4.638,1,0.0549,0.00247,0.202,0.0603,0.446,127.963,audio_features,2eFEk7GTjeOzBPCQANBgeH,spotify:track:2eFEk7GTjeOzBPCQANBgeH,https://api.spotify.com/v1/tracks/2eFEk7GTjeOzBPCQANBgeH,https://api.spotify.com/v1/audio-analysis/2eFEk7GTjeOzBPCQANBgeH,289687,4
Adrenalizou - Le Dib Remix,0.711,0.776,9,-4.977,1,0.0446,0.165,1.51e-06,0.0481,0.624,124.09,audio_features,6UpBu7o7s40j9OZ8iOrLXl,spotify:track:6UpBu7o7s40j9OZ8iOrLXl,https://api.spotify.com/v1/tracks/6UpBu7o7s40j9OZ8iOrLXl,https://api.spotify.com/v1/audio-analysis/6UpBu7o7s40j9OZ8iOrLXl,191250,4
There's Nothing Holdin' Me Back,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,audio_features,7JJmb5XwzOO8jgpou264Ml,spotify:track:7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/audio-analysis/7JJmb5XwzOO8jgpou264Ml,199440,4
Want to Want Me,0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,audio_features,41zXlQxzTi6cGAjpOXyLYH,spotify:track:41zXlQxzTi6cGAjpOXyLYH,https://api.spotify.com/v1/tracks/41zXlQxzTi6cGAjpOXyLYH,https://api.spotify.com/v1/audio-analysis/41zXlQxzTi6cGAjpOXyLYH,203569,3
Take Your Love,0.258,0.919,9,-6.927,1,0.0809,0.065,0,0.279,0.636,93.62,audio_features,1lfjTOtTRUDkzcmahA4lcs,spotify:track:1lfjTOtTRUDkzcmahA4lcs,https://api.spotify.com/v1/tracks/1lfjTOtTRUDkzcmahA4lcs,https://api.spotify.com/v1/audio-analysis/1lfjTOtTRUDkzcmahA4lcs,187293,4
Just For A Moment (feat. Iselin),0.536,0.776,1,-6.343,0,0.0485,0.0137,1.83e-05,0.269,0.414,144.037,audio_features,24FFOpCA6bc5YoU2F3TKqS,spotify:track:24FFOpCA6bc5YoU2F3TKqS,https://api.spotify.com/v1/tracks/24FFOpCA6bc5YoU2F3TKqS,https://api.spotify.com/v1/audio-analysis/24FFOpCA6bc5YoU2F3TKqS,253251,4
Kaisey Jiyun,0.386,0.824,11,-5.225,0,0.0317,0.000305,6.5e-06,0.269,0.362,163.989,audio_features,1H5TcdTdMYvOfJ31SAA6H5,spotify:track:1H5TcdTdMYvOfJ31SAA6H5,https://api.spotify.com/v1/tracks/1H5TcdTdMYvOfJ31SAA6H5,https://api.spotify.com/v1/audio-analysis/1H5TcdTdMYvOfJ31SAA6H5,239085,4
Selfish Girls,0.459,0.72,11,-5.792,0,0.326,0.254,0,0.143,0.668,207.761,audio_features,3y0tQ7b8FjoB8THX6LmJh5,spotify:track:3y0tQ7b8FjoB8THX6LmJh5,https://api.spotify.com/v1/tracks/3y0tQ7b8FjoB8THX6LmJh5,https://api.spotify.com/v1/audio-analysis/3y0tQ7b8FjoB8THX6LmJh5,168905,4
Standing On All Threes,0.694,0.859,3,-4.455,0,0.14,0.521,3.5e-05,0.23,0.932,170.062,audio_features,2G8XR0sPEMD62TxeOpGDdX,spotify:track:2G8XR0sPEMD62TxeOpGDdX,https://api.spotify.com/v1/tracks/2G8XR0sPEMD62TxeOpGDdX,https://api.spotify.com/v1/audio-analysis/2G8XR0sPEMD62TxeOpGDdX,197009,4
Meanin ',0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,audio_features,3BsaRV5QIulYz2lV9WWa8T,spotify:track:3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/tracks/3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/audio-analysis/3BsaRV5QIulYz2lV9WWa8T,234960,4
