,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Boys Like You (feat. Iggy Azalea),2019-06-22 07:42,VVAVES,Boys Like You (feat. Iggy Azalea),179745,2019-06-22 07:42:00,0.868,0.681,4,-6.2,0,0.13,0.0677,0.0,0.0734,0.428,109.985,audio_features,73D9aoXt4vnm0QIkBDFzyP,spotify:track:73D9aoXt4vnm0QIkBDFzyP,https://api.spotify.com/v1/tracks/73D9aoXt4vnm0QIkBDFzyP,https://api.spotify.com/v1/audio-analysis/73D9aoXt4vnm0QIkBDFzyP,179746,4
1,Boys Like You (feat. Iggy Azalea),2019-06-22 07:45,VVAVES,Boys Like You (feat. Iggy Azalea),179745,2019-06-22 07:45:00,0.868,0.681,4,-6.2,0,0.13,0.0677,0.0,0.0734,0.428,109.985,audio_features,73D9aoXt4vnm0QIkBDFzyP,spotify:track:73D9aoXt4vnm0QIkBDFzyP,https://api.spotify.com/v1/tracks/73D9aoXt4vnm0QIkBDFzyP,https://api.spotify.com/v1/audio-analysis/73D9aoXt4vnm0QIkBDFzyP,179746,4
2,Too Much,2019-06-22 07:48,Carly Rae Jepsen,Too Much,179477,2019-06-22 07:48:00,0.443,0.533,0,-6.549,1,0.0396,0.371,0.0,0.128,0.201,77.342,audio_features,39jXnbACjiaiTwwhsr5sY5,spotify:track:39jXnbACjiaiTwwhsr5sY5,https://api.spotify.com/v1/tracks/39jXnbACjiaiTwwhsr5sY5,https://api.spotify.com/v1/audio-analysis/39jXnbACjiaiTwwhsr5sY5,223044,4
3,Don’t Give Up On Me Now (with Julie Bergan),2019-06-22 07:50,R3HAB,Don’t Give Up On Me Now (with Julie Bergan),127826,2019-06-22 07:50:00,0.687,0.706,4,-5.357,1,0.0459,0.091,0.0,0.124,0.27,115.268,audio_features,46W9iEjOg5nkMvb6lo4Jwz,spotify:track:46W9iEjOg5nkMvb6lo4Jwz,https://api.spotify.com/v1/tracks/46W9iEjOg5nkMvb6lo4Jwz,https://api.spotify.com/v1/audio-analysis/46W9iEjOg5nkMvb6lo4Jwz,127826,4
4,Killing Time,2019-06-22 07:53,R3HAB,Killing Time,193142,2019-06-22 07:53:00,0.779,0.51,8,-7.953,1,0.0695,0.243,0.0,0.102,0.279,93.049,audio_features,0CqYZYOOHXl6uN1CTzx7mU,spotify:track:0CqYZYOOHXl6uN1CTzx7mU,https://api.spotify.com/v1/tracks/0CqYZYOOHXl6uN1CTzx7mU,https://api.spotify.com/v1/audio-analysis/0CqYZYOOHXl6uN1CTzx7mU,201294,4
5,You Remind Me (feat. Stanaj),2019-06-22 07:57,Gryffin,You Remind Me (feat. Stanaj),217250,2019-06-22 07:57:00,0.573,0.903,3,-3.703,0,0.0341,0.11,1.97e-06,0.275,0.425,128.935,audio_features,1br1KHZHkKhCcjz6sHysT5,spotify:track:1br1KHZHkKhCcjz6sHysT5,https://api.spotify.com/v1/tracks/1br1KHZHkKhCcjz6sHysT5,https://api.spotify.com/v1/audio-analysis/1br1KHZHkKhCcjz6sHysT5,216799,4
6,Lighthouse,2019-06-22 08:01,Mike Perry,Lighthouse,167663,2019-06-22 08:01:00,0.543,0.875,1,-3.033,1,0.032,0.0795,1.07e-05,0.061,0.244,154.936,audio_features,4AM3fxgUBkEUO6xScrmB9a,spotify:track:4AM3fxgUBkEUO6xScrmB9a,https://api.spotify.com/v1/tracks/4AM3fxgUBkEUO6xScrmB9a,https://api.spotify.com/v1/audio-analysis/4AM3fxgUBkEUO6xScrmB9a,167663,4
7,Touch,2019-06-22 08:04,3LAU,Touch,205772,2019-06-22 08:04:00,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,2xyIwHKujL7tSgkK2Waj2s,spotify:track:2xyIwHKujL7tSgkK2Waj2s,https://api.spotify.com/v1/tracks/2xyIwHKujL7tSgkK2Waj2s,https://api.spotify.com/v1/audio-analysis/2xyIwHKujL7tSgkK2Waj2s,147840,4
8,Light It Up,2019-06-22 08:07,CALVO,Light It Up,173680,2019-06-22 08:07:00,0.747,0.877,9,-3.782,0,0.0664,0.0375,0.000833,0.233,0.752,107.991,audio_features,500mvzh7TRZ0YdnVeHhj8b,spotify:track:500mvzh7TRZ0YdnVeHhj8b,https://api.spotify.com/v1/tracks/500mvzh7TRZ0YdnVeHhj8b,https://api.spotify.com/v1/audio-analysis/500mvzh7TRZ0YdnVeHhj8b,166138,4
9,Sad Song (feat. TINI),2019-06-22 08:09,Alesso,Sad Song (feat. TINI),1331,2019-06-22 08:09:00,0.734,0.693,0,-6.474,1,0.0361,0.0878,0.0,0.341,0.55,110.021,audio_features,2JoIjuzRplpYGvvLpSW2on,spotify:track:2JoIjuzRplpYGvvLpSW2on,https://api.spotify.com/v1/tracks/2JoIjuzRplpYGvvLpSW2on,https://api.spotify.com/v1/audio-analysis/2JoIjuzRplpYGvvLpSW2on,154024,4
10,Nevada,2019-06-22 08:09,Vicetone,Nevada,93366,2019-06-22 08:09:00,0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,audio_features,02shCNmb6IvgB5jLqKjtkK,spotify:track:02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/tracks/02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/audio-analysis/02shCNmb6IvgB5jLqKjtkK,208562,4
11,Waste It On Me (feat. BTS),2019-06-22 08:09,Steve Aoki,Waste It On Me (feat. BTS),5314,2019-06-22 08:09:00,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,audio_features,2FWyJIT0gL2G3xWVQ9Id5f,spotify:track:2FWyJIT0gL2G3xWVQ9Id5f,https://api.spotify.com/v1/tracks/2FWyJIT0gL2G3xWVQ9Id5f,https://api.spotify.com/v1/audio-analysis/2FWyJIT0gL2G3xWVQ9Id5f,192537,4
12,Radio Silence - King Arthur Remix,2019-06-22 08:09,R3HAB,Radio Silence - King Arthur Remix,106,2019-06-22 08:09:00,0.658,0.751,4,-7.628,0,0.0488,0.018,0.00019,0.0846,0.197,123.961,audio_features,2dOzjjJNYi4fdIXuWtXbsE,spotify:track:2dOzjjJNYi4fdIXuWtXbsE,https://api.spotify.com/v1/tracks/2dOzjjJNYi4fdIXuWtXbsE,https://api.spotify.com/v1/audio-analysis/2dOzjjJNYi4fdIXuWtXbsE,226925,4
13,Turn Back Time,2019-06-24 09:21,Daniel Schulz,Turn Back Time,223561,2019-06-24 09:21:00,0.68,0.346,7,-6.533,1,0.0302,0.231,0.0,0.26,0.224,95.952,audio_features,4KnnWpUyPfQD6X5SQSTlH3,spotify:track:4KnnWpUyPfQD6X5SQSTlH3,https://api.spotify.com/v1/tracks/4KnnWpUyPfQD6X5SQSTlH3,https://api.spotify.com/v1/audio-analysis/4KnnWpUyPfQD6X5SQSTlH3,223562,4
