,0
Hollow (feat. Sabelle),7p0nLpkKaAeebJ1SIP46HM
Cry (with John Martin) - Nevada Remix,39LgsU96tqZhLgFBJPTC8x
Body on Me (feat. Chris Brown),3qRHCvn70YpVFFkx3lrAYf
Bem Melhor - KVSH Remix,76m2MiAKQvoHsgvwRDPXx5
Skin,03B2SfXuvDh1m9F4tqrX07
Teach Me How To Love,5LZtB6nxvjIhUoElp3Zqk0
Only Wanna Dance With You,63O2cn53Bo4k8pEui4LtQR
One Drink Away,7i7DaXk1g3da6G3421Gi3i
Hell and High Water,4H7IgCtaB7fy2tSS3B87RX
Make You Mad,2dRBaaPkV67jwPBtCmZTQl
I Just Wanna Dance,1LsoAswipJvPzdcSnoQ46C
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A
Girls Like You,7fa9MBXhVfQ8P8Df9OEbD8
Crying In The Sun,0VQUyufAldw4Eitv71TPmg
Oxygen - Wave Wave Remix,2quLFfIQqd9g02Fijps0VS
Call Me Maybe,20I6sIOMTCkB6w7ryavxtO
Way Back Home,1ZLrDPgR7mvuTco3rQK8Pk
Colour,1zbVZ0G1PYBI8Rlt3Qysmj
When Love Takes Over,619bJQ9uDi8dnXzLebFI7y
Cold Water,6xsGllAEwkmF4SSDwdpmMt
Up (feat. Demi Lovato),1RidHM9BC4M8DpfSQ6YLJh
Someone Like You (feat. Gia Koka),1NhCTXyj2XjiUXpjpDNoaF
Animal - Dave Aude Remix,6aMPM4eBKqLFFhwZYo68sf
Heaven (feat. Veronica),5ql2mP9FUhB3SgMzv2akuO
SKINNYDIP,0FQAOxq5XJhsW1oFTZpjPb
ILLUSION - Acoustic Version,6hD84kiPi80OsWfiGITkNE
How We Do (Party),1dsndFSRXSoQFLjSJ6uPpG
Dancing In The Moonlight (feat. NEIMY) - PBH & Jack Sunset Remix Radio Edit,2E82VLSCocIcymHDHoMHyr
Heartbeat Song,7FC9Lng8iXU081lbigu8m8
Symphony,1x5sYLZiu9r5E43kMlt9f8
Dreaming,5DZNSYxhFA1WA9WEJg9TNY
We R Who We R,3LUWWox8YYykohBbHUrrxd
Afterhours,1gV0hgMNdpSWeW7ZjSUKnX
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb
High Hopes - Don Diablo Remix,1FlIzyCvRFQUE4pc7PiaIo
Without You,6Pgkp4qUoTmJIPn7ReaGxL
We Are The Greatest,7KVogt1437zlFZzsP0srqs
Actually,5dVNdJxuYW3RH88NaOXdUv
No Remedy,4Y1ys67Lr6HzrdvOiB7DPy
Easier,2bjUEg4jBtKBlPdNrTAppI
Bloom,0oTyoTKEKMdF3rXcOLyEfN
Do Lado de Cá,7HacxOP2pHeSv1OsraqmDA
I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV
Gold Trans Am,5pOeKpXet0UPJyjjM2k7v0
Killer Whales,0qnOjNW04qpcgXqD9dwru2
You Deserve Better - Andrelli Remix,0JumfyG7GUshFjxouEXwhw
OMG (with Carly Rae Jepsen) - MOTi Remix,6C3KjmM03L3CKHf2vhU5Pa
Selfish Girls,3y0tQ7b8FjoB8THX6LmJh5
Strawberries & Cigarettes,3afkJSKX0EAMsJXTZnDXXJ
Thorns,4Vw2r6872b5fVY2FwjC3D8
ILLUSION,23xx852ectQgmp1G78zSpd
Can't Bring Me Down,6MKqEvedCtQevXF4YGWaVC
