,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
0,1,1MRTKMPBOK8wTd5Q3a8c3e,Hip-hop/Rap,1MRTKMPBOK8wTd5Q3a8c3e,49NWFeDYeNBx55vxxmwCQe,45 Man - Bonus Track,Rak-Su,17,2017-04-03,0.883,0.0818,140.058,0.276,0.0223,0,0.664,206530,-5.671,0.695,1,1
1,2,54Li3lQX4xRBaV3qRgK5ZH,Country,54Li3lQX4xRBaV3qRgK5ZH,2bCBowfjQbsT6jXEqpGqDx,"Geronimo - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",Sheppard,36,2015-12-11,0.763,0.138,142.037,0.0818,0.378,0.002,0.704,217653,-6.343,0.468,1,7
2,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,77,2017-02-23,0.817,0.187,98.064,0.109,0.075,0,0.696,216409,-3.862,0.782,1,1
3,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,74,2011-09-16,0.718,0.104,91.993,0.0605,0.0165,0,0.668,192200,-4.736,0.345,0,1
4,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),Jason Derulo,69,2017-11-10,0.709,0.094,98.062,0.0714,0.0233,0,0.845,187521,-4.547,0.62,0,10
5,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,6zKrj4SomgfbvsfuTAuElE,Want to Want Me,Jason Derulo,45,2015-06-01,0.68,0.109,114.025,0.0629,0.00906,0,0.775,207719,-5.508,0.656,0,0
6,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),Jason Derulo,70,2013-09-10,0.652,0.307,100.315,0.232,0.0348,0,0.76,177685,-7.321,0.759,1,6
7,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,67,2018-08-24,0.904,0.189,103.028,0.0739,0.0776,0,0.643,195419,-3.694,0.481,1,0
8,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,7yPcAO4F6ozQi6lTi3n3Ai,Talk with Your Body,Jason Derulo,47,2019-11-08,0.76,0.267,102.989,0.124,0.112,0,0.793,188750,-3.704,0.819,0,0
9,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,5YHR8wBR5jXfGtP766NiAT,If It Ain't Love,Jason Derulo,60,2016-04-01,0.843,0.344,128.63,0.316,0.0487,0,0.503,203105,-4.991,0.778,0,10
10,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,7iwhbx1YQcQ675DTj6AmAb,Mamacita (feat. Farruko),Jason Derulo,63,2019-07-05,0.787,0.0917,191.772,0.34,0.303,0,0.593,204064,-3.67,0.495,1,11
11,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,6jizk5lOUnfpaZXYMdfeC6,Trumpets,Jason Derulo,69,2013-09-10,0.703,0.0962,81.897,0.236,0.563,0,0.627,217307,-4.884,0.64,1,0
12,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,1EujTZPE2yBYbbwu2vWXvr,Bubblegum (feat. Tyga),Jason Derulo,51,2013-09-10,0.633,0.112,109.011,0.34,0.0718,0,0.856,205972,-6.429,0.77,0,11
13,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,2SHsNfrHj4iDOVJuDwclPd,Let’s SHUT UP & DANCE,LAY,48,2019-02-22,0.893,0.0331,110.051,0.209,0.042,0.000271,0.765,208261,-2.891,0.715,0,6
14,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,29QrzCnJ8r5aPamLBADZLx,Too Hot,Jason Derulo,59,2019-08-27,0.856,0.201,95.026,0.0722,0.0678,0,0.751,158053,-3.225,0.836,1,7
15,3,5XplGgQBmRqV3yofTz46HA,Jason derulo,5XplGgQBmRqV3yofTz46HA,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,94,2020-06-11,0.481,0.269,150.076,0.0803,0.234,0,0.767,171375,-8.52,0.761,0,0
